,videoId,textOriginal,authorDisplayName,likeCount,publishedAt
22,UgzlX1ijB32aipeHc8R4AaABAg,ycV6bF_er3c,"про Петрика П'яточкіна згодна на всі 100 відсотків. 
P.S. Я нарешті зрозуміла, чому в російському варіанті цей мультик ніколи не справляв на мене враження, а коли побачила його українською, то навіть сина ''обзивала'' Петриком П'яточкіним, бо він в садочку і початковій школі був таким же зшибайголовою. 
Дякую за вашу цікаву аналітику!",Okcana Tkachenko,2022-10-04T18:31:55Z
23,UgzRVBvZ3UlIzX-jBuB4AaABAg,ycV6bF_er3c,"Таню, таку пісеньку пуйлом зіпсували! ;)",Okcana Tkachenko,2022-10-04T18:24:07Z
24,UgxfA0KJm79zgRtaHZx4AaABAg,ycV6bF_er3c,👍👍👍🫶🫶🫶,Віктор Возіян,2022-10-04T18:23:34Z
25,Ugy3616PFW4JTfiEMnZ4AaABAg,ycV6bF_er3c,"Украінською - ЛІКАРНЯ . Російською ( псЄчою мовою ) - БОЛЬНИЦА , від слова БОЛЬ ...і так у них все побудовано",olga giz,2022-10-04T18:09:56Z
26,UgxsplWfy4CdUOpqmhJ4AaABAg,ycV6bF_er3c,Браво!!!,Українська квітка,2022-10-04T18:05:38Z
27,UgxulxZHo5DpwmcUl1R4AaABAg,ycV6bF_er3c,"Капітошка з піснею про ""puйlo"" - мій топчик на сьогодні ❤",Iryna Bahinska,2022-10-04T17:59:03Z
28,Ugyf3yAxCwXCsMfMjx54AaABAg,ycV6bF_er3c,"Дуже ""якісний"" був переклад московитів.",Кібертронській акваріум,2022-10-04T17:57:55Z
29,Ugz68PEAwsdt-0-4Ac94AaABAg,ycV6bF_er3c,Дякувати за працю,Валєро,2022-10-04T17:56:02Z
30,Ugz_opCqux9YuNlP3k14AaABAg,ycV6bF_er3c,Щиро дякую! І додаю свій коментар на підтримку україномовного контенту! 💙💛,Anastasia Riznyk,2022-10-04T17:43:17Z
31,Ugye0V3Nc_tOdq80qHN4AaABAg,ycV6bF_er3c,Титри у мультивсесвіті нереальності.,Міша Ільницький,2022-10-04T17:40:54Z
32,Ugy_cA1m5qKSSIxlQLR4AaABAg,ycV6bF_er3c,Телесеріал Альф Українською👍,IGOR (SLIPKO),2022-10-04T17:38:09Z
